TOTAL,'very' : 16,'so' : 46,'really' : 18,
TIME STAMPS,
0:0:25,'very'
0:2:53,'very'
0:3:35,'so'
0:3:38,'so'
0:4:27,'so'
0:4:31,'so'
0:4:42,'so'
0:5:0,'So'
0:6:1,'So'
0:7:24,'so'
0:7:46,'very'
0:8:22,'So'
0:8:57,'So'
0:9:10,'very'
0:9:17,'So'
0:9:47,'So'
0:10:16,'so'
0:11:6,'so'
0:11:23,'So'
0:12:41,'very'
0:12:51,'so'
0:15:5,'really'
0:15:19,'really'
0:15:25,'so'
0:15:29,'really'
0:15:40,'So'
0:15:43,'So'
0:15:51,'so'
0:16:8,'So'
0:16:28,'very'
0:16:44,'so'
0:16:47,'really'
0:17:19,'So'
0:17:45,'really'
0:17:47,'really'
0:17:55,'very'
0:17:55 'so'
0:18:43,'So'
0:19:4,'really'
0:19:8,'really'
0:19:35,'so'
0:19:45,'so'
0:19:56,'so'
0:20:59,'So'
0:22:27,'so'
0:22:35,'really'
0:22:35 'so'
0:23:32,'so'
0:23:42,'so'
0:23:42 'very'
0:23:53,'really'
0:24:3,'So'
0:24:44,'very'
0:24:44 'very'
0:25:15,'really'
0:25:22,'so'
0:25:35,'very'
0:26:58,'really'
0:27:7,'really'
0:27:52,'really'
0:28:28,'so'
0:28:31,'Very'
0:28:51,'so'
0:30:9,'So'
0:30:25,'So'
0:31:9,'very'
0:31:21,'So'
0:32:1,'So'
0:33:23,'so'
0:33:23 'so'
0:33:37,'really'
0:34:5,'really'
0:34:40,'really'
0:35:11,'very'
0:35:25,'really'
0:35:27,'so'
0:38:18,'very'
0:38:54,'very'
0:40:45,'So'
0:42:25,'So'
