TOTAL,'so' : 71,'really' : 36,'very' : 9,
TIME STAMPS,
0:0:12,'so'
0:0:18,'so'
0:0:41,'really'
0:0:49,'so'
0:2:44,'really'
0:3:13,'so'
0:3:15,'so'
0:3:27,'so'
0:3:33,'really'
0:3:38,'so'
0:4:27,'so'
0:5:41,'So'
0:5:56,'so'
0:6:7,'so'
0:6:48,'so'
0:6:57,'really'
0:7:27,'so'
0:7:30,'so'
0:8:34,'So'
0:8:36,'really'
0:8:37,'really'
0:9:16,'really'
0:9:32,'So'
0:9:58,'so'
0:9:58 'So'
0:10:12,'So'
0:10:51,'So'
0:11:27,'So'
0:11:33,'really'
0:12:41,'so'
0:12:46,'so'
0:13:2,'really'
0:13:22,'So'
0:13:27,'really'
0:13:27 'really'
0:14:20,'really'
0:14:31,'so'
0:14:36,'So'
0:14:45,'really'
0:14:45 'really'
0:15:34,'really'
0:15:39,'very'
0:15:57,'So'
0:16:15,'really'
0:16:25,'so'
0:16:31,'So'
0:16:31 'really'
0:17:18,'so'
0:17:31,'really'
0:17:36,'So'
0:17:44,'really'
0:17:45,'really'
0:17:56,'So'
0:18:28,'really'
0:18:28 'really'
0:18:59,'so'
0:19:6,'really'
0:19:55,'very'
0:21:8,'So'
0:21:42,'really'
0:22:0,'so'
0:22:4,'So'
0:22:44,'really'
0:22:52,'really'
0:22:57,'So'
0:23:6,'So'
0:23:45,'so'
0:23:45 'so'
0:24:5,'So'
0:24:34,'so'
0:24:36,'so'
0:24:36 'so'
0:24:36 'so'
0:26:29,'So'
0:27:54,'So'
0:29:24,'really'
0:29:44,'really'
0:29:50,'so'
0:30:9,'really'
0:30:34,'really'
0:30:46,'So'
0:30:55,'So'
0:30:55 'so'
0:31:6,'so'
0:31:6 'really'
0:31:14,'Really'
0:31:25,'so'
0:32:20,'So'
0:33:18,'so'
0:34:4,'so'
0:34:21,'very'
0:34:29,'so'
0:34:51,'so'
0:35:32,'really'
0:36:1,'So'
0:36:58,'So'
0:37:19,'So'
0:37:23,'so'
0:37:33,'Really'
0:37:45,'very'
0:37:45 'very'
0:37:45 'very'
0:37:45 'very'
0:38:0,'very'
0:38:16,'so'
0:38:28,'So'
0:38:37,'So'
0:38:44,'So'
0:38:50,'So'
0:39:2,'so'
0:39:15,'so'
0:39:20,'really'
0:39:49,'very'
0:40:55,'so'
0:40:55 'so'
0:41:1,'really'
