0:00:40,so',Moira,N
0:01:57,so',Jeremiah,N
0:02:17,so',N,
0:02:39,so',N,
0:02:46,So',N,
0:03:09,So',N,
0:03:47,so',N,
0:03:58,really',Rachel,N
0:03:58,So',N,
0:04:25,so',N,
0:04:28,So',N,
0:04:33,really',Calvin,N
0:04:46,So',N,
0:05:05,so',N,
0:05:34,very',Caleb,Y
0:05:37,So',N,
0:07:11,So',N,
0:07:25,so',N,
0:07:33,So',N,
0:07:46,So',N,
0:08:04,really',Cely,N
0:08:24,So',James,Y
0:09:06,so',Moira,N
0:09:06,so',Moira,N
0:09:06,so',Moira,N
0:09:06,so',Moira,N
0:09:19,So',N,
0:09:31,so',Moira,N
0:09:31,very',Moira,N
0:09:55,so',Moira,N
0:10:10,very',Mackenzie,N
0:10:22,really',Mackenzie,N
0:11:45,So',N,
0:13:27,So',N,
0:13:53,really',James,N
0:14:13,really',Moira,N
0:14:45,really',Moira,N
0:15:57,really',Mackenzie,N
0:16:31,so',Moira,N
0:16:40,so',Moira,N
0:16:40,so',Moira,N
0:16:45,very',Cely,N
0:16:45,very',Cely,N
0:18:05,really',Caleb,N
0:18:21,very',Kierstan,N
0:19:27,So',James,N
0:19:31,so',N,
0:20:22,So',N,
0:20:39,so',Rachel,N
0:20:43,so',Rachel,N
0:20:43,really',Rachel,N
0:20:55,so',Rachel,Y
0:20:57,so',Rachel,Y
0:21:14,So',N,
0:21:29,So',N,
0:21:49,so',N,
0:22:03,so',Kierstan,N
0:23:46,so',Moira,N
0:24:28,So',N,
0:24:37,very',Kierstan,N
0:24:49,very',Kierstan,N
0:25:55,so',N,
0:26:20,so',N,
0:27:20,so',N,
0:28:07,really',Moira,N
0:28:30,really',Moira,N
0:28:45,really',Moira,N
0:29:01,really',Moira,Y
0:29:22,so',James,N
0:29:54,so',James,N
0:30:08,So',N,
0:31:34,very',Rachel,N
0:31:39,So',N,
0:31:41,very',Rachel,N
0:31:50,So',N,
0:32:01,so',N,
0:32:46,really',Calvin,N
0:33:17,so',Moira,N
0:33:28,so',N,
0:33:40,so',Moira,Y
0:33:42,so',Moira,Y
0:33:50,so',Moira,N
0:33:52,so',Moira,N
0:33:54,really',Moira,N
0:33:58,really',Moira,N
0:34:09,so',N,
0:34:18,so',Moira,N
0:37:09,So',N,
0:37:09,really',Moira,Y
0:38:08,really',Caleb,N
0:38:18,really',Caleb,N
0:38:18,really',Caleb,N
0:38:28,so',Rachel,N
0:38:28,so',Rachel,N
0:38:58,really',Rachel,Y
0:38:58,So',N,
0:39:13,so',N,
0:39:52,so',Moira,N
0:40:24,really',Johnny,N
0:42:04,very',Matthew,Y
